FoodID	Country, region	Food name in English	Processing	Species/Subspecies	Cultivar/Variety/Accession Name	BiblioID	ENERC(kJ)	ENERC(kcal)	WATER(g)	DM(g)	NT(g)	PROTCNT(g)	CHOAVLDF(g)	FIBTG(g)	FATCE(g)	CHOLE(mg)	FACID(g)	FASAT(g)	FAMS(g)	FAPU(g)	ASH(g)	CA(mg)	CU(mg)	FE(mg)	K(mg)	MG(mg)	MN(mg)	NA(mg)	P(mg)	ZN(mg)	THIA(mg)	RIBF(mg)	NIA(mg)	NIAEQ(mg)	VITB6C(mg)	VITB12(mcg)	VITC(mg)	FOL(mcg)	VITA(mcg)	VITA_RAE(mcg)	RETOL(mcg)	CARTBEQ(mcg)	CARTA(mcg)	CARTB(mcg)	CRYPXB(mcg)	TOCPHA(mg)	ALA(mg)	ARG(mg)	ASP(mg)	CYS(mg)	GLU(mg)	GLY(mg)	HIS(mg)	ILE(mg)	LEU(mg)	LYS(mg)	MET(mg)	PHE(mg)	PRO(mg)	SER(mg)	THR(mg)	TRP(mg)	TYR(mg)	VAL(mg)	IP3(mg)	IP4(mg)	IP5(mg)	IP6(mg)
VUN001_DM		Cowpea, mature, whole, dried, raw	d/r	Vigna unguiculata (L) Walp.		VUN001: 2E, phy57, phy7, phy83, pu010, pu035, pu075, pu081, pu082, pu093, pu132, pu143, pu150, pu160, pu163, pu200, pu201, pu202, pu203, pu204, pu207, pu208, pu209, pu211, pu212, pu214, pu215, pu216, pu217, pu218, pu222, pu224, pu228, pu234, pu235, pu236, pu252, pu255, pu266, USDA/SR28 (16062)	1530	363	0	100	4.0	25.2	52.4	16.3	2.2	0	1.67	0.52	0.29	0.85	3.9	97	0.83	6.3	1420	181	2.07	24	374	3.26	0.48	0.11	2.7	7.4	0.31	0	1.7	720	3	2	0	21	0	21	0	0.40	1170	1770	2850	128	4430	1038	857	1160	1970	1690	453	1410	1160	1230	997	283	726	1130	0.2	25	138	688
VUN005_DM		Cowpea, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Vigna unguiculata (L) Walp.		VUN005: calculated from VUN001	1530	363	0	100	4.03	25.2	52.4	16.3	2.2	0	1.67	0.52	0.3	0.85	3.9	83	0.58	5.3	1070	154	2.07	18	336	2.93	0.3	0.08	1.7	6.5	0.22	0	1.0	360	3	2	0	21	0	21	0	0.36	1170	1770	2850	128	4430	1038	857	1160	1970	1690	453	1410	1160	1230	997	283	726	1130				461
VUN006_DM		Cowpea, mature, whole, water-soaked, boiled in different water, without salt (water not discarded)	p	Vigna unguiculata (L) Walp.		VUN006: calculated from VUN001	1530	363	0	100	4.03	25.2	52.4	16.3	2.2	0	1.67	0.5	0.29	0.85	3.9	97	0.83	6.3	1290	181	2.07	22	374	3.26	0.36	0.11	2.0	6.7	0.22	0	1.0	400	3	2	0	21	0	21	0	0.40	1170	1770	2850	128	4430	1038	857	1160	1970	1690	453	1410	1160	1230	997	283	726	1130				509
VUN003_DM	Brazil	Cowpea, mature, whole, dried, raw (Brazil)	d/r	Vigna unguiculata (L) Walp.		VUN003: pu203, pu204, pu207, pu211, pu224	1440	343	0	100	3.61	23	44.6	27.0	2.2	0	1.71	0.58	0.17	0.95	3.6	89	0.80	5.9	1240	204	1.64	12	406	4.04	0.16	0.03	tr		0.30	0	1.7	720	4	2	0	21	0	21	0	0.41	1010	1740	2550	114	3970	893	815	924	1690	1560	406	1270	1040	1040	902	299	650	955	0.2	24.6	138	688
VUN009_DM	Brazil	Cowpea, mature, whole, water-soaked, boiled in different water, without salt, drained (Brazil)	p	Vigna unguiculata (L) Walp.		VUN009: calculated from VUN003	1440	343	0	100	3.6	22.5	44.6	27	2.2	0	1.71	0.58	0.17	0.95	3.6	75	0.56	5.0	930	174	1.64	9	365	3.6	0.10	0.03	tr		0.21	0	Tr	360	4	2	0	21	0	21	0	0.37	1010	1740	2550	114	3970	893	815	924	1690	1560	406	1270	1040	1040	902	299	650	955				461
VUN010_DM	Brazil	Cowpea, mature, whole, water-soaked, boiled in different water, without salt (water not discarded) (Brazil)	p	Vigna unguiculata (L) Walp.		VUN010: calculated from VUN003	1440	343	0	100	3.61	22.5	44.6	27.0	2.2	0	1.71	0.58	0.17	0.95	3.6	89	0.80	5.9	1120	204	1.64	11	406	4.04	0.12	0.03	tr		0.21	0	Tr	400	4	2	0	21	0	21	0	0.41	1010	1740	2550	114	3970	893	815	924	1690	1560	406	1270	1040	1040	902	299	0	955				509
VUN004_DM	India	Cowpea, seeds, mature, whole, dried, raw (India)	d/r	Vigna unguiculata (L) Walp.		VUN004: pu093, pu201, pu234, pu252	1580	374	0	100	3.76	24	57	12.7	2.8	0	2.20	0.63	0.51	1.04	3.7	140	0.83	6.5	1800	147	2.09	26	239	2.14	0.36	0.10	2.9	6.8	0.3	0	1.7	720	3	1	0	17	0	17	0	0.82	1020	1440	2410	162	4040	855	835	1070	1630	1580	360	1260	1080	968	924	237	715	1250	0.2	24.6	138	688
VUN011_DM	India	Cowpea, mature, whole, water-soaked, boiled in different water, without salt, drained (India)	p	Vigna unguiculata (L) Walp.		VUN011: calculated from VUN004	1580	374	0	100	3.76	23.5	57.2	12.7	2.8	0	2.20	0.63	0.51	1.04	3.7	119	0.58	5.5	1350	125	2.1	19	215	1.92	0.24	0.07	1.9	5.8	0.23	0	1.0	360	3	1	0	17	0	17	0	0.73	1020	1440	2410	162	4040	855	835	1070	1630	1580	360	1260	1080	968	924	237	715	1250				461
VUN012_DM	India	Cowpea, mature, whole, water-soaked, boiled in different water, without salt (water not discarded) (India)	p	Vigna unguiculata (L) Walp.		VUN012: calculated from VUN004	1580	374	0	100	3.76	23.5	57.2	12.7	2.8	0	2.20	0.63	0.5	1.04	3.7	140	0.83	6.5	1620	147	2.09	23	239	2.14	0.27	0.10	2.2	6.1	0.23	0	1.0	400	3	1	0	17	0	17	0	0.82	1020	1440	2410	162	4040	855	835	1070	1630	1580	360	1260	1080	968	924	237	715	1250				509
VUN002_DM	Nigeria	Cowpea, mature, whole, dried, raw (Nigeria)	d/r	Vigna unguiculata (L) Walp.		VUN002: phy57, pu081, pu082, pu132, pu214, pu215, pu217, pu222, pu236	1570	371	0	100	4.20	26.2	55.7	12.1	2.1	0	1.64	0.51	0.28	0.84	3.9	95	0.83	5.3	1320	181	2.07	18	448	2.99	0.48	0.11	2.7	7.6	0.31	0	1.7	720	3	2	0	20	0	20	0	0.40	1100	2100	3120	241	4590	1160	785	1140	1920	1710	367	1470	1230	1370	947	295	897	1420	0.2	25	138	688
VUN007_DM	Nigeria	Cowpea, mature, whole, water-soaked, boiled in different water, without salt, drained (Nigeria)	p	Vigna unguiculata (L) Walp.		VUN007: calculated from VUN002	1570	371	0	100	4.20	26.2	55.7	12.1	2.1	0	1.64	0.51	0.3	0.84	3.9	80	0.58	4.5	992	154	2.1	13	403	2.7	0.3	0.08	1.7	6.7	0.22	0	1.0	360	3	2	0	20	0	20	0	0.36	1100	2100	3120	241	4590	1160	785	1140	1920	1710	367	1470	1230	1370	947	295	897	1420				461
VUN008_DM	Nigeria	Cowpea, mature, whole, water-soaked, boiled in different water, without salt (water not discarded) (Nigeria)	p	Vigna unguiculata (L) Walp.		VUN008: calculated from VUN002	1570	371	0	100	4.20	26.2	55.7	12.1	2.1	0	1.64	0.5	0.28	0.84	3.9	95	0.83	5.3	1190	181	2.07	16	448	2.99	0.36	0.11	2.0	6.9	0.22	0	1.0	400	3	2	0	20	0	20	0	0.40	1100	2100	3120	241	4590	1160	785	1140	1920	1710	367	1470	1230	1370	947	295	897	1420				509
LAP001_DM		Hyacinth bean, mature, whole, raw	d/r	Lablab purpureus (L) Sweet		LAP001: pu062, pu101, pu125, pu136, pu177, pu228, pu252, THAI/2016(0300504), USDA/SR28 (16067)	1510	357	0	100	4.21	26.3	50.1	18.3	1.7	0	1.32	0.49	0.13	0.71	3.6	49	1.55	6.7	1920	472	3.2	23	404	6.3	0.78	0.15	3.2	6.9	0.18	0	0	[26]	1	0	0	6	8	2	0		1140	1470	3030	342	4180	1070	742	1090	2030	1660	329	1360	1110	1420	1010	219	963	1410	10.0	30.0	190	650
LAP002_DM		Hyacinth bean, mature, whole, water-soaked, boiled in different water, without salt, drained  	p	Lablab purpureus (L) Sweet		LAP002: calculated from LAP001	1510	357	0	100	4.21	26.3	50.1	18.3	1.7	0	1.32	0.49	0.13	0.71	3.6	42	1.08	5.7	1440	401	3.17	17	364	5.70	0.50	0.11	2.1	5.8	0.12	0	0	[12]	1	0	0	6	8	2	0		1140	1470	3030	342	4180	1070	742	1090	2030	1660	329	1360	1110	1420	1010	219	963	1410				436
LAP003_DM		Hyacinth bean, mature, whole, water-soaked, boiled in different water, without salt  (cooking water not discarded)	p	Lablab purpureus (L) Sweet		LAP003: calculated from LAP001	1510	357	0	100	4.2	26.3	50.1	18.3	1.7	0	1.32	0.49	0.13	0.71	3.6	49	1.55	6.7	1730	472	3.17	21	404	6.34	0.58	0.15	2.4	6.1	0.12	0	0	[14]	0	0	0	2	8	2	0		1140	1470	3030	342	4180	1070	742	1090	2030	1660	329	1360	1110	1420	1010	219	963	1410				481
PHV003_DM		Kidney bean (all types), mature, whole, dried, raw	d/r	Phaseolus vulgaris L	Kidney	PHV003: AUSNUT/2011-2013 (13A20124), McW/2015 (13-109), phy1, phy6, pu070, pu075, pu093, pu118, pu150, pu160, pu163, pu225, pu255, pu262, pu266, pu268, pu272, pu275, pu276, THAI/2016 (0300506), tu3, USDA/SR28 (16030/16032/16035)	1460	346	0	100	3.9	24.4	44.4	24.9	2.4	0	1.82	0.42	0.18	1.2	4.0	106	0.83	8.3	1470	184	2.51	19	461	3.59	0.48	0.2	2.6	7.5	0.23	0	3.2	340	1	0	0	6	0	6	0	0.11	1110	1430	3020	117	3920	1090	653	1020	1990	1550	322	1400	1150	1480	1100	291	787	1320	nd	8.0	106.7	837
PHV015_DM		Kidney bean (all types), mature, whole, water-soaked, boiled in different water, without salt, drained	p	Phaseolus vulgaris L	Kidney	PHV015: calculated from PHV003	1460	346	0	100	3.90	24.4	44.4	24.9	2.4	0	1.82	0.42	0.18	1.23	4.0	91	0.6	7.0	1100	157	2.51	15	415	3.23	0.32	0.17	1.7	6.5	0.16	0	1.9	170	1	0	0	6	0	6	0	0.10	1110	1430	3020	117	3920	1090	653	1020	1990	1550	322	1400	1150	1480	1100	291	787	1320				561
PHV016_DM		Kidney bean (all types), mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded)	p	Phaseolus vulgaris L	Kidney	PHV016: calculated from PHV003	1460	346	0	100	3.90	24.4	44.4	24.9	2.4	0	1.82	0.42	0.18	1.23	4.0	106	0.83	8.3	1320	184	2.51	17	461	3.59	0.36	0.23	2.0	6.8	0.16	0	1.9	190	1	0	0	6	0	6	0	0.11	1110	1430	3020	117	3920	1090	653	1020	1990	1550	322	1400	1150	1480	1100	291	787	1320				620
PHV004_DM		Kidney bean, red, mature, whole, dried, raw	d/r	Phaseolus vulgaris L	Kidney, Red	PHV004: AUSNUT/2011-2013 (13A20124), McW/2015 (13-109), phy1, phy6, pu075, pu118, pu150, pu163, pu268, pu272, pu275, pu276, THAI/2016 (0300506), USDA/SR28 (16032/16035)	1450	344	0	100	4.09	25.6	44.2	24.4	1.8	0	1.39	0.32	0.13	0.94	4.0	98	0.86	9.9	1460	167	1.56	10	443	3.63	0.52	0.2	2.7	8.8	0.51	0	2	340	1	1	0	7	0	7	0	0.12	1120	1600	3259	271	3540	1310	675	1250	2210	1880	304	1470	734	1320	1170	368	1020	1570	nd	8.0	106.7	891
PHV017_DM		Kidney bean, red, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Phaseolus vulgaris L	Kidney, Red	PHV017: calculated from PHV004	1450	344	0	100	4.1	25.6	44.2	24.4	1.8	0	1.39	0.32	0.13	0.94	4.0	83	0.6	8.4	1100	142	1.56	8	399	3.27	0.34	0.17	1.7	7.9	0.36	0	1.3	170	1	1	0	7	0	7	0	0.11	1120	1600	3259	271	3540	1310	675	1250	2210	1880	304	1470	734	1320	1170	368	1020	1570				597
PHV018_DM		Kidney bean, red, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded)	p	Phaseolus vulgaris L	Kidney, Red	PHV018: calculated from PHV004	1450	344	0	100	4.09	25.6	44.2	24	1.8	0	1.39	0.32	0.13	0.94	4.0	98	0.86	10	1320	167	1.56	9	443	3.63	0.39	0.22	2.0	8.2	0.36	0	1.3	190	1	1	0	7	0	7	0	0.12	1120	1600	3259	271	3540	1310	675	1250	2210	1880	304	1470	734	1320	1170	368	1020	1570				659
LEC007_DM		Lentil, mature, dried, split, raw	d/r	Lens culinaris Medik		LEC007: AUSNUT/2011-2013 (13A20141), pu059, pu255, pu275, pu276, McW/2015 (13-091)	1580	375	0	100	4.85	30	54	11.7	1.6	0	1.27	0.30	0.37	0.60	2.6	39	0.82	8.0	1050	99	1.66	6	455	3.31	0.4	0.20	2.4	7.4	0.61	0	5.2	[99]	7	4	0	44	0	44		0.32	1580	2280	2970	285	5860	1270	692	1210	2300	2130	248	1380	1500	1370	962	297	864	1510	[13.9]	[24]	[110]	[388]
LEC021_DM		Lentil, mature, split, boiled, without salt, drained 	p	Lens culinaris Medik		LEC021: calculated from LEC007	1580	375	0	100	4.8	30.3	54	11.7	1.6	0	1.27	0.30	0.37	0.60	3	33	0.58	6.8	787	84	1.66	5	410	2.98	0.29	0.15	1.6	6.5	0.43	0	3.1	[48]	7	4	0	44	0	44	0	0.29	1580	2280	2970	285	5860	1270	692	1210	2300	2130	248	1380	1502	1370	962	297	864	1510				[261]
LEC022_DM		Lentil, mature, split, boiled, without salt (water not discarded)	p	Lens culinaris Medik		LEC022: calculated from LEC007	1580	375	0	100	4.85	30.3	53.8	11.7	1.6	0	1.27	0.30	0.37	0.60	2.6	39	0.82	8.0	944	99	1.66	5	455	3.31	0	0.20	1.8	6.8	0.4	0	3.1	[53]	7	4	0	44	0	44	0	0.32	1580	2280	2970	285	5860	1270	692	1210	2300	2130	248	1380	1500	1370	962	297	864	1510				[289]
LEC001_DM		Lentil, mature, whole, dried, raw	d/r	Lens culinaris Medik		LEC001: AUSNUT/2011-2013 (13A20141/13A20142), McW/2015 (13-089), phy1, phy5, phy6, phy83, pu002, pu007, pu008, pu057, pu059, pu061, pu072, pu111, pu135, pu137, pu138, pu139, pu143, pu150, pu161, pu163, pu224, pu228, pu232, pu233, pu250, pu255, pu257, pu261, pu262, USDA/SR28 (16069/16144)	1510	359	0	100	4.3	27.0	49.6	19	1.7	0	1.28	0.26	0.32	0.70	3.0	45	0.46	7.9	833	73	1.56	11	323	3.93	0.36	0.14	2.8	7.2	0.4	0	7.5	[170]	4	2	0	24	0	24	0	0.32	1410	2030	3530	254	5210	1130	616	1080	2040	1900	221	1230	1340	1220	857	264	769	1350	[13.8]	[24]	[110]	[389]
LEC009_DM		Lentil, mature, whole, boiled, without salt, drained  	p	Lens culinaris Medik		LEC009: calculated from LEC001	1510	359	0	100	4.32	27.0	49.6	18.8	1.7	0	1.28	0.26	0.32	0.70	3	38	0.32	6.7	625	62	1.56	8	290	3.54	0.24	0.10	1.8	6.2	0.3	0	4.5	[85]	4	2	0	24	0	24	0	0.3	1410	2030	3530	254	5210	1130	616	1080	2040	1900	221	1230	1340	1220	857	264	769	1350				[261]
LEC010_DM		Lentil, mature, whole, boiled, without salt (water not discarded)	p	Lens culinaris Medik		LEC010: calculated from LEC001	1510	359	0	100	4.32	27.0	49.6	19	1.7	0	1.28	0.26	0.32	0.70	3.0	45	0.5	7.9	749	73	1.56	10	323	3.93	0.27	0.14	2.1	6.5	0.31	0	5	[94]	4	2	0	24	0	24	0	0.32	1410	2030	3530	254	5210	1130	616	1080	2040	1900	221	1230	1340	1220	857	264	769	1350				[287]
LEC006_DM	India	Lentil, mature, whole, dried, raw	d/r	Lens culinaris Medik		LEC006: phy6, phy83, pu093, pu143, pu161, pu163, pu257	1500	355	0	100	4.30	26.9	50.2	18.5	1	0	0.83	0.15	0.18	0.50	3.3	84	1.08	8.3	833	111	1.71	12	302	3.96	0.4	0.24	2.8	6.2	0.51	0	7.5	[170]	3	1	0	17	0	17	0	0.21	1550	2000	3360	317	4640	1290	557	1120	1980	1820	226	1240	1350	1480	901	204	645	1300	[13.8]	[24]	[110]	[388]
LEC019_DM	India	Lentil, mature, whole, boiled, without salt, drained (India)	p	Lens culinaris Medik		LEC019: calculated from LEC006	1500	355	0	100	4.30	26.9	50	18.5	1.1	0	0.83	0.15	0.18	0.50	3.3	71	0.76	7.1	624	95	1.71	9	272	3.57	0.3	0.18	1.8	5.2	0.35	0	4.5	[86]	3	1	0	17	0	17	0	0.19	1550	2000	3360	317	4640	1290	557	1120	1980	1820	226	1240	1350	1480	901	204	645	1300				[260]
LEC020_DM	India	Lentil, mature, whole, boiled, without salt (water not discarded) (India)	p	Lens culinaris Medik		LEC020: calculated from LEC006	1500	355	0	100	4.30	26.9	50.2	18.5	1.1	0	0.83	0.15	0.18	0.50	3.3	84	1.08	8.3	749	111	1.71	11	302	3.96	0.33	0.24	2.1	5.5	0.35	0	5	[95]	3	1	0	17	0	17	0	0.21	1550	2000	3360	317	4640	1290	557	1120	1980	1820	226	1240	1350	1480	901	204	645	1300				[289]
LEC002_DM		Lentil, green, mature, whole, dried, raw	d/r	Lens culinaris Medik	Green	LEC002: phy83, pu008, pu057, pu059, pu072, pu138, pu139, pu161, pu163, pu232	1530	362	0	100	4.36	27.2	51.6	16.8	1.5	0	1.14	0.27	0.28	0.59	2.9	41	0.40	7.2	821	68	1.51	9	312	3.78	0.2	0.14	1.8	6.2	0.4	0	6.9	[130	4	2	0	21	0	21	0	0.29	1420	2050	3560	256	5260	1140	622	1090	2060	1920	223	1240	1350	1230	865	267	776	1360	[13.9]	[24]	[110]	[388]
LEC011_DM		Lentil, green, mature, whole, boiled, without salt, drained  	p	Lens culinaris Medik	Green	LEC011: calculated from LEC002	1530	362	0	100	4.36	27.2	51.6	16.8	1.5	0	1.14	0.27	0.3	0.6	3	35	0.28	6.1	616	58	1.51	7	281	3.41	0.14	0.10	1.1	5.6	0.31	0	4.2	[64]	4	2	0	21	0	21	0	0.26	1420	2050	3560	256	5360	1140	622	1090	2060	1920	223	1240	1350	1230	865	267	776	1360				[260]
LEC012_DM		Lentil, green, mature, whole, boiled, without salt (water not discarded)	p	Lens culinaris Medik	Green	LEC012: calculated from LEC002	1530	362	0	100	4.36	27.2	52	16.8	1.5	0	1.14	0.27	0.28	0.59	2.9	41	0.40	7.2	739	68	1.51	8	312	3.78	0.17	0.14	1.3	5.8	0.31	0	4.2	[70]	4	2	0	21	0	21	0	0.29	1420	2050	3560	256	5260	1140	622	1090	2060	1920	223	1240	1350	1230	865	267	776	1360				[286]
LEC004_DM	Canada	Lentil, green, mature, whole, dried, raw	d/r	Lens culinaris Medik	Green	LEC004: phy83, pu008, pu059, pu161, pu163, pu232	1530	362	0	100	4.52	28.3	50.5	17.5	1.3	0	1.0	0.26	0.26	0.51	2.4	49	0.90	9	1050	115	1.59	8	343	4.51	0.22	0.14	1.8	6.4	0.44	0	7.2	[130]	3	2	0	19	0	19	0	0.26	1480	2130	3700	266	5460	1180	646	1130	2140	1990	232	1290	1400	1270	898	277	806	1410	[13,8]	[24]	[110]	[388]
LEC015_DM	Canada	Lentil, green, mature, whole, boiled, without salt, drained (Canada)	p	Lens culinaris Medik	Green	LEC015: calculated from LEC004	1530	362	0	100	4.52	28.3	50.5	17.5	1.3	0	1.03	0.26	0.26	0.51	2.4	42	0.63	7.8	786	98	1.59	6	308	4.06	0.14	0.10	1.1	5.8	0.3	0	4.3	[67]	3	2	0	19	0	19	0	0.23	1480	2130	3700	266	5460	1180	646	1130	2140	1990	232	1290	1400	1270	898	277	806	1410				[261]
LEC016_DM	Canada	Lentil, green, mature, whole, boiled, without salt (water not discarded) (Canada)	p	Lens culinaris Medik	Green	LEC016: calculated from LEC004	1530	362	0	100	4.52	28.3	50.5	17.5	1.3	0	1.03	0.26	0.26	0.51	2.4	49	0.90	9.1	943	115	1.59	7	343	4.51	0.17	0.14	1.3	5.9	0.31	0	4.3	[73]	3	2	0	19	0	19	0	0.26	1480	2130	3700	266	5460	1180	646	1130	2140	1990	232	1290	1400	1270	898	277	806	1410				[287]
LEC003_DM		Lentil, red, mature, whole, dried, raw	d/r	Lens culinaris Medik	Red	LEC003: phy83, pu008, pu057, pu059, pu072, pu139, pu150, pu161, pu163, pu232, USDA/SR28 (16144)	1520	360	0	100	4.3	27.1	51.7	17.1	1.2	0	0.95	0.2	0.21	0.52	2.9	50	0.64	8.8	881	87	1.63	8	346	4.26	0.51	0.1	1.8	6.0	0.39	0	6.4	[120]	3	2	0	20	0	20	0	0.24	1180	2180	3120	370	4380	1150	795	1220	2050	1970	240	1390	1180	1300	1010	252	755	1400	[13.9]	[24]	[110]	[388]
LEC013_DM		Lentil, red, mature, whole, boiled, without salt, drained  	p	Lens culinaris Medik	Red	LEC013: calculated from LEC003	1520	360	0	100	4.33	27.1	51.7	17.1	1.2	0	0.95	0.22	0.21	0.52	3	42	0.45	7.5	660	74	1.63	6	312	3.8	0.33	0.09	1.2	5.4	0.27	0	3.8	[62]	3	2	0	20	0	20	0	0.22	1180	2180	3120	370	4380	1150	795	1220	2050	1970	240	1390	1180	1300	1010	252	755	1400				[259]
LEC014_DM		Lentil, red, mature, whole, boiled, without salt (water not discarded)	p	Lens culinaris Medik	Red	LEC014: calculated from LEC003	1520	360	0	100	4.33	27.1	51.7	17.1	1.2	0	1.0	0.22	0.21	0.52	2.9	50	0.64	8.8	792	87	1.63	8	346	4.3	0.38	0.11	1.4	5.6	0.27	0	3.8	[66]	3	2	0	20	0	20	0	0.24	1180	2180	3120	370	4380	1150	795	1220	2050	1970	240	1390	1180	1300	1010	252	755	1400				[288]
LEC005_DM	Canada	Lentil, red, mature, whole, dried, raw	d/r	Lens culinaris Medik	Red	LEC005: phy83, pu008, pu059,pu161, pu163, pu232	1540	364	0	100	5	29	51.9	16.1	1.0	0	0.79	0.21	0.18	0.40	2	44	0.97	9.7	1080	113	1.56	12	379	4.96	0.51	0.1	1.8	6.3	0.39	0	8.9	[130]	3	1	0	16	0	16	0	0.20	1250	2310	3300	392	4630	1220	841	1290	2170	2090	254	1470	1250	1380	1070	267	799	1480	[13.9]	[24]	[110]	[388]
LEC017_DM	Canada	 Lentil, red, mature, whole, boiled, without salt, drained (Canada)	p	Lens culinaris Medik	Red	LEC017: calculated from LEC005	1540	364	0	100	4.58	28.7	51.9	16.1	1.0	0	0.79	0.21	0.18	0.40	2.3	37	0.68	8.3	809	96	1.56	9	341	4.46	0.33	0.09	1.2	5.6	0.27	0	5.4	[64]	3	1	0	16	0	16	0	0.18	1250	2310	3300	392	4630	1220	841	1290	2170	2090	254	1470	1250	1380	1070	267	799	1480				[262]
LEC018_DM	Canada	Lentil, red, mature, whole, boiled, without salt (water not discarded) (Canada)	p	Lens culinaris Medik	Red	LEC018: calculated from LEC005	1540	364	0	100	4.58	28.7	51.9	16.1	1.0	0	0.79	0.21	0.18	0.40	2.3	44	1.0	10	971	113	1.56	11	379	4.96	0.38	0.11	1.4	5.8	0.27	0	5.4	[68]	3	1	0	16	0	16	0	0.20	1250	2310	3300	392	4630	1220	841	1290	2170	2090	254	1470	1250	1380	1070	267	799	1480				[287]
PHL001_DM		Lima bean, mature, whole, dried, raw	d/r	Phaseolus lunatus L		PHL001: AUSNUT/2011-2013 (13A20127), pu038, pu043, pu049, pu069, pu071, pu163, pu255, pu272, pu275, pu276, pu120, pu123, pu130, pu134, 12pl, phy54, USDA/SR28 (16071/16074)	1470	348	0	100	3.69	23.0	50	21.0	1.7	0	1.3	0.40	0.15	0.8	4.6	74	0.74	7.2	1670	194	1.97	8	422	3.05	0.6	0.20	1.8	6.3	0.58	0	0	440	0	0	0	0	0	0	0	0.52	1180	1410	2970	254	3260	973	704	1210	1990	1540	291	1330	1050	1530	995	273	815	1390	nd	11.5	124	657
PHL002_DM		Lima bean, mature, whole, water-soaked, boiled in different water, without salt, drained	p	Phaseolus lunatus L		PHL002: calculated from PHL001	1470	348	0	100	3.69	23.0	50	21.0	1.7	0	1.32	0.40	0.15	0.77	4.6	63	0.52	6.1	1250	165	1.97	6	380	3	0.36	0.15	1.2	5.7	0.41	0	0	220	0	0	0	0	0	0	0	0.47	1180	1410	2970	254	3260	973	704	1210	1990	1540	291	1330	1050	1530	995	273	815	1390				440
PHL003_DM		Lima bean, mature, whole, water-soaked, boiled in different water, without salt (cooking water not discarded)	p	Phaseolus lunatus L		PHL003: calculated from PHL001	1470	348	0	100	3.69	23.0	49.6	21.0	1.7	0	1.32	0.40	0.15	0.77	5	74	0.74	7.2	1500	194	1.97	7	422	3.05	0.41	0.20	1.3	5.9	0.41	0	0	240	0	0	0	0	0	0	0	0.52	1180	1410	2970	254	3260	973	704	1210	1990	1540	291	1330	1050	1530	995	273	815	1390				486
LUS001_DM		Lupin, whole, dried, raw (Lupinus spp.)	d/r	Lupinus spp.		LUS001: AUSNUT/2011-2013 (13A20148), pu057, pu161, pu180, pu181, pu183, pu184, pu185, pu186, pu189, pu190, pu191, pu193, pu194, pu195, pu196, pu197, pu224, pu279, pu280, USDA/SR28 (16076)	1420	341	0	100	6.02	37.6	11.9	39.0	7.2	0	5.57	0.97	2.73	1.86	4.2	327	0.74	7	1140	235	19	11	554	5.77	0.4	0.27	2.8	8.0	0.43	0	3.8	400	18	9	0	110	0	110	0	0.50	1240	3990	3740	673	8760	1510	976	1490	2720	1830	238	1470	1490	1810	1280	310	1250	1440			[60]	[516]
LUS007_DM		Lupin, whole, water-soaked, boiled in different water, without salt, drained 	p	Lupinus spp.		LUS007: calculated from LUS001	1420	341	0	100	6.02	37.6	11.9	39.0	7.2	0	5.57	0.97	2.73	1.86	4.2	278	0.5	5.6	856	200	18.75	8	499	5.19	0.29	0.20	1.8	7.0	0.30	0	2.3	200	18	9	0	110	0	110	0	0.45	1240	3990	3740	673	8760	1510	976	1490	2720	1830	238	1470	1490	1810	1280	310	1250	1440				[345]
LUS002_DM		Lupin, white, whole, dried, raw (Lupinus albus)	d/r	Lupinus albus		LUS002: pu161, pu180, pu183, pu184, pu185, pu189, pu190, pu191, pu193, pu195, pu196, pu197, pu224, pu279, pu280, USDA/SR28 (16076)	1510	362	0	100	5.86	36.6	14.0	35.8	9.7	0	7.54	1.16	4.24	2.14	3.8	287	0.67	5.2	1050	178	67.5	12	412	5.69	0.46	0.24	3.2	7.8	0.23	0	5.4	400	0	0	0	0	0	0	0	0.58	1260	3480	3900	623	8200	1480	845	1500	2730	1790	200	1470	1520	1880	1380	280	1600	1440				[313]
LUS008_DM		Lupin, white, whole, water-soaked, boiled in different water, without salt, drained	p	Lupinus albus		LUS008: calculated from LUS002	1510	362	0	100	5.86	36.6	14.0	35.8	9.7	0	7.54	1.16	4.24	2.14	3.8	244	0.47	4.4	791	152	67.5	9	370	5.12	0.30	0.18	2.1	6.7	0.16	0	3.2	200	0	0	0	0	0	0	0	0.5	1260	3480	3900	623	8200	1480	845	1500	2730	1790	200	1470	1520	1880	1380	280	1600	1440				[211]
LUS003_DM		Lupin, whole, dried, raw (Lupinus angustifolius)	d/r	Lupinus angustifolius		LUS003: pu180, pu183, pu185, pu186, pu190, pu193, pu194, pu195	1400	337	0	100	5.28	33.0	17.8	39.0	6.1	0	4.75	1.17	2.0	1.59	4.0	394	0.49	5.7	1110	226	4.18	11	514	4.04	0.4	0.35	2.8	7.6	0.43	0	3.8	400	16	8	0	94	0	94	0	0.43	1120	3680	3270	502	7530	1390	896	1340	2290	1580	213	1320	1350	1590	1150	289	1140	1320			[60]	[515]
